Day,Type,recovery_time_ms
78,CPU,6.16958970903857
79,CPU,6.16958959697011
80,CPU,6.16958959697011
81,CPU,6.16958970903857
82,CPU,6.16958959697011
83,CPU,6.16958970903857
84,CPU,6.16958959697011
85,CPU,6.16958959697011
86,CPU,6.16958959697011
87,CPU,6.16958970903857
88,CPU,6.16958970903857
89,CPU,6.16958959697011
90,CPU,6.16958959697011
91,CPU,6.16958959697011
92,CPU,6.16958970903857
93,CPU,6.16958970903857
94,CPU,6.16958959697011
95,CPU,6.16958970903857
96,CPU,6.16958970903857
97,CPU,6.16958970903857
98,CPU,6.16958970903857
99,CPU,6.16958959697011
100,CPU,6.16958970903857
101,CPU,6.16958959697011
102,CPU,6.16958959697011
103,CPU,6.16958970903857
104,CPU,6.16958959697011
105,CPU,6.16958959697011
106,CPU,6.16958959697011
107,CPU,6.16958970903857
108,CPU,6.16958970903857
109,CPU,6.16958959697011
110,CPU,6.16958959697011
111,CPU,6.16958970903857
112,CPU,6.16958959697011
113,CPU,6.16958970903857
114,CPU,6.16958959697011
115,CPU,6.16958959697011
116,CPU,6.16958959697011
117,CPU,6.16958959697011
118,CPU,6.16958970903857
119,CPU,6.16958959697011
120,CPU,6.16958970903857
121,CPU,6.16958959697011
122,CPU,6.16958959697011
123,CPU,6.16958970903857
124,CPU,6.16958959697011
125,CPU,6.16958970903857
126,CPU,6.16958970903857
127,CPU,6.16958970903857
128,CPU,6.16958959697011
129,CPU,6.16958970903857
130,CPU,6.16958970903857
131,CPU,6.16958970903857
132,CPU,6.16958959697011
133,CPU,6.16958970903857
134,CPU,6.16958970903857
135,CPU,6.16958970903857
136,CPU,6.16958970903857
137,CPU,6.16958970903857
138,CPU,6.16958970903857
139,CPU,6.16958959697011
140,CPU,6.16958970903857
141,CPU,6.16958970903857
142,CPU,6.16958970903857
143,CPU,6.16958959697011
144,CPU,6.16958970903857
145,CPU,6.16958959697011
146,CPU,6.16958959697011
147,CPU,6.16958970903857
148,CPU,6.16958959697011
149,CPU,6.16958970903857
150,CPU,6.16958970903857
151,CPU,6.16958970903857
152,CPU,6.16958970903857
153,CPU,6.16958970903857
154,CPU,6.16958970903857
155,CPU,6.16958959697011
156,CPU,6.16958970903857
157,CPU,6.16958959697011
158,CPU,6.16958970903857
159,CPU,6.16958959697011
160,CPU,6.16958970903857
161,CPU,6.16958970903857
162,CPU,6.16958970903857
163,CPU,6.16958970903857
164,CPU,6.16958959697011
165,CPU,6.16958970903857
166,CPU,6.16958959697011
167,CPU,6.16958959697011
168,CPU,6.16958970903857
169,CPU,6.16958970903857
170,CPU,6.16958959697011
171,CPU,6.16958959697011
172,CPU,6.16958959697011
173,CPU,6.16958970903857
174,CPU,6.16958959697011
175,CPU,6.16958970903857
176,CPU,6.16958959697011
177,CPU,6.16958970903857
178,CPU,6.16958970903857
179,CPU,6.16958959697011
180,CPU,6.16958959697011
1,Disk,7.018866791412162
2,Disk,7.003619231679266
3,Disk,6.999018186696319
4,Disk,7.0401594414991955
5,Disk,7.038444685047515
6,Disk,7.025824464564265
7,Disk,7.019577811124619
8,Disk,7.024594218343538
9,Disk,7.027150322827436
10,Disk,7.025659609673624
11,Disk,7.0257755203044425
12,Disk,7.026099159479857
13,Disk,7.025866958805351
14,Disk,7.025588469761091
15,Disk,7.025608009523733
16,Disk,7.025725248099587
17,Disk,7.025786523277581
18,Disk,7.025780832084578
19,Disk,7.025756359954667
20,Disk,7.025741752559294
21,Disk,7.025738337843492
22,Disk,7.02574156285286
23,Disk,7.025744977568662
24,Disk,7.02574763345873
25,Disk,7.02574820257803
26,Disk,7.02574706433943
27,Disk,7.0257459261008295
28,Disk,7.025745546687962
29,Disk,7.0257459261008295
30,Disk,7.025746115807263
31,Disk,7.025746305513696
32,Disk,7.025746305513696
33,Disk,7.025746305513696
34,Disk,7.025746115807263
35,Disk,7.025746305513696
36,Disk,7.025746305513696
37,Disk,7.025746305513696
38,Disk,7.025746305513696
39,Disk,7.025746305513696
40,Disk,7.025746305513696
41,Disk,7.025746305513696
42,Disk,7.025746305513696
43,Disk,7.025746305513696
44,Disk,7.025746305513696
45,Disk,7.025746305513696
46,Disk,7.025746305513696
47,Disk,7.025746305513696
48,Disk,7.025746305513696
49,Disk,7.025746305513696
50,Disk,7.025746305513696
51,Disk,7.025746305513696
52,Disk,7.025746305513696
53,Disk,7.025746305513696
54,Disk,7.025746305513696
55,Disk,7.025746305513696
56,Disk,7.025746305513696
57,Disk,7.025746305513696
58,Disk,7.025746305513696
59,Disk,7.025746305513696
60,Disk,7.025746305513696
61,Disk,7.025746305513696
62,Disk,7.025746305513696
63,Disk,7.025746305513696
64,Disk,7.025746305513696
65,Disk,7.025746305513696
66,Disk,7.025746305513696
67,Disk,7.025746305513696
68,Disk,7.025746305513696
69,Disk,7.025746305513696
70,Disk,7.025746305513696
71,Disk,7.025746305513696
72,Disk,7.025746305513696
73,Disk,7.025746305513696
74,Disk,7.025746305513696
75,Disk,7.025746305513696
76,Disk,7.025746305513696
77,Disk,7.025746305513696
78,Disk,7.025746305513696
79,Disk,7.025746305513696
80,Disk,7.025746305513696
81,Disk,7.025746305513696
82,Disk,7.025746305513696
83,Disk,7.025746305513696
84,Disk,7.025746305513696
85,Disk,7.025746305513696
86,Disk,7.025746305513696
87,Disk,7.025746305513696
88,Disk,7.025746305513696
89,Disk,7.025746305513696
90,Disk,7.025746305513696
91,Disk,7.025746305513696
92,Disk,7.025746305513696
93,Disk,7.025746305513696
94,Disk,7.025746305513696
95,Disk,7.025746305513696
96,Disk,7.025746305513696
97,Disk,7.025746305513696
98,Disk,7.025746305513696
99,Disk,7.025746305513696
100,Disk,7.025746305513696
101,Disk,7.025746305513696
102,Disk,7.025746305513696
103,Disk,7.025746305513696
104,Disk,7.025746305513696
105,Disk,7.025746305513696
106,Disk,7.025746305513696
107,Disk,7.025746305513696
108,Disk,7.025746305513696
109,Disk,7.025746305513696
110,Disk,7.025746305513696
111,Disk,7.025746305513696
112,Disk,7.025746305513696
113,Disk,7.025746305513696
114,Disk,7.025746305513696
115,Disk,7.025746305513696
116,Disk,7.025746305513696
117,Disk,7.025746305513696
118,Disk,7.025746305513696
119,Disk,7.025746305513696
120,Disk,7.025746305513696
121,Disk,7.025746305513696
122,Disk,7.025746305513696
123,Disk,7.025746305513696
124,Disk,7.025746305513696
125,Disk,7.025746305513696
126,Disk,7.025746305513696
127,Disk,7.025746305513696
128,Disk,7.025746305513696
129,Disk,7.025746305513696
130,Disk,7.025746305513696
131,Disk,7.025746305513696
132,Disk,7.025746305513696
133,Disk,7.025746305513696
134,Disk,7.025746305513696
135,Disk,7.025746305513696
136,Disk,7.025746305513696
137,Disk,7.025746305513696
138,Disk,7.025746305513696
139,Disk,7.025746305513696
140,Disk,7.025746305513696
141,Disk,7.025746305513696
142,Disk,7.025746305513696
143,Disk,7.025746305513696
144,Disk,7.025746305513696
145,Disk,7.025746305513696
146,Disk,7.025746305513696
147,Disk,7.025746305513696
148,Disk,7.025746305513696
149,Disk,7.025746305513696
150,Disk,7.025746305513696
151,Disk,7.025746305513696
152,Disk,7.025746305513696
153,Disk,7.025746305513696
154,Disk,7.025746305513696
155,Disk,7.025746305513696
156,Disk,7.025746305513696
157,Disk,7.025746305513696
158,Disk,7.025746305513696
159,Disk,7.025746305513696
160,Disk,7.025746305513696
161,Disk,7.025746305513696
162,Disk,7.025746305513696
163,Disk,7.025746305513696
164,Disk,7.025746305513696
165,Disk,7.025746305513696
166,Disk,7.025746305513696
167,Disk,7.025746305513696
168,Disk,7.025746305513696
169,Disk,7.025746305513696
170,Disk,7.025746305513696
171,Disk,7.025746305513696
172,Disk,7.025746305513696
173,Disk,7.025746305513696
174,Disk,7.025746305513696
175,Disk,7.025746305513696
176,Disk,7.025746305513696
177,Disk,7.025746305513696
178,Disk,7.025746305513696
179,Disk,7.025746305513696
180,Disk,7.025746305513696
1,Memory,6.81455814292456
2,Memory,6.796072377550955
3,Memory,6.784520429534557
4,Memory,6.778694919724996
5,Memory,6.785222195017965
6,Memory,6.787088723927155
7,Memory,6.786033088618543
8,Memory,6.784595604469286
9,Memory,6.784557469369947
10,Memory,6.784515451062058
11,Memory,6.784545919313749
12,Memory,6.784562049564645
13,Memory,6.78458276001024
14,Memory,6.784550698647348
15,Memory,6.7845475124249495
16,Memory,6.784551993050198
17,Memory,6.784550798216798
18,Memory,6.784546317591549
19,Memory,6.784546715869349
20,Memory,6.784547910702749
21,Memory,6.784548010272199
22,Memory,6.7845477115638495
23,Memory,6.784547811133299
24,Memory,6.7845477115638495
25,Memory,6.7845477115638495
26,Memory,6.7845477115638495
27,Memory,6.7845477115638495
28,Memory,6.784547811133299
