Day,Endpoint,Method,Value
1,/price,GET,2.284034062922001
2,/price,GET,2.819128903150559
3,/price,GET,2.364154995977879
4,/price,GET,2.758214032649994
5,/price,GET,2.504899618327618
6,/price,GET,2.548813402652741
7,/price,GET,2.6128072392940522
8,/price,GET,2.5755854177474977
9,/price,GET,2.5823432606458665
10,/price,GET,2.582010142207146
11,/price,GET,2.580037307739258
12,/price,GET,2.5838080894947053
13,/price,GET,2.5802443170547487
14,/price,GET,2.5814596045017244
15,/price,GET,2.5820859861373906
16,/price,GET,2.581389411687851
17,/price,GET,2.581566083431244
18,/price,GET,2.581621404886246
19,/price,GET,2.58156310915947
20,/price,GET,2.5816202151775363
21,/price,GET,2.5815607297420504
22,/price,GET,2.581591662168503
23,/price,GET,2.5815943390130998
24,/price,GET,2.581578575372696
25,/price,GET,2.581589580178261
26,/price,GET,2.581586903333664
27,/price,GET,2.581586011052132
28,/price,GET,2.581586903333664
29,/price,GET,2.581586011052132
30,/price,GET,2.581586605906487
31,/price,GET,2.581586903333664
32,/price,GET,2.5815863084793094
33,/price,GET,2.5815863084793094
34,/price,GET,2.5815863084793094
35,/price,GET,2.5815863084793094
36,/price,GET,2.581586605906487
37,/price,GET,2.5815863084793094
38,/price,GET,2.5815863084793094
39,/price,GET,2.581586605906487
40,/price,GET,2.581586605906487
41,/price,GET,2.5815863084793094
42,/price,GET,2.5815863084793094
43,/price,GET,2.581586605906487
44,/price,GET,2.5815863084793094
45,/price,GET,2.581586605906487
46,/price,GET,2.5815863084793094
47,/price,GET,2.5815863084793094
48,/price,GET,2.5815863084793094
49,/price,GET,2.5815863084793094
50,/price,GET,2.5815863084793094
51,/price,GET,2.581586605906487
52,/price,GET,2.581586605906487
53,/price,GET,2.581586605906487
54,/price,GET,2.581586605906487
55,/price,GET,2.5815863084793094
56,/price,GET,2.581586605906487
57,/price,GET,2.581586903333664
58,/price,GET,2.581586605906487
59,/price,GET,2.581586605906487
60,/price,GET,2.581586605906487
61,/price,GET,2.581586605906487
62,/price,GET,2.5815863084793094
63,/price,GET,2.581586605906487
64,/price,GET,2.5815863084793094
65,/price,GET,2.581586605906487
66,/price,GET,2.581586903333664
67,/price,GET,2.581586605906487
68,/price,GET,2.5815863084793094
69,/price,GET,2.581586605906487
70,/price,GET,2.5815863084793094
71,/price,GET,2.581586605906487
72,/price,GET,2.581586605906487
73,/price,GET,2.581586605906487
74,/price,GET,2.5815863084793094
75,/price,GET,2.581586605906487
76,/price,GET,2.581586605906487
77,/price,GET,2.5815863084793094
78,/price,GET,2.581586605906487
79,/price,GET,2.581586605906487
80,/price,GET,2.5815863084793094
81,/price,GET,2.5815863084793094
82,/price,GET,2.5815863084793094
83,/price,GET,2.5815863084793094
84,/price,GET,2.5815863084793094
85,/price,GET,2.5815863084793094
86,/price,GET,2.5815863084793094
87,/price,GET,2.581586605906487
88,/price,GET,2.5815863084793094
89,/price,GET,2.581586605906487
90,/price,GET,2.5815863084793094
91,/price,GET,2.5815863084793094
92,/price,GET,2.5815863084793094
93,/price,GET,2.5815863084793094
94,/price,GET,2.5815863084793094
95,/price,GET,2.5815863084793094
96,/price,GET,2.5815863084793094
97,/price,GET,2.5815863084793094
98,/price,GET,2.5815863084793094
99,/price,GET,2.5815863084793094
100,/price,GET,2.581586605906487
101,/price,GET,2.581586605906487
102,/price,GET,2.5815863084793094
103,/price,GET,2.581586605906487
104,/price,GET,2.5815863084793094
105,/price,GET,2.5815863084793094
106,/price,GET,2.5815863084793094
107,/price,GET,2.581586605906487
108,/price,GET,2.581586605906487
109,/price,GET,2.5815863084793094
110,/price,GET,2.581586605906487
111,/price,GET,2.5815863084793094
112,/price,GET,2.5815863084793094
113,/price,GET,2.5815863084793094
114,/price,GET,2.581586605906487
115,/price,GET,2.581586605906487
116,/price,GET,2.5815863084793094
117,/price,GET,2.5815863084793094
118,/price,GET,2.581586605906487
119,/price,GET,2.581586605906487
120,/price,GET,2.581586605906487
121,/price,GET,2.5815863084793094
122,/price,GET,2.581586605906487
123,/price,GET,2.581586605906487
124,/price,GET,2.5815863084793094
125,/price,GET,2.5815863084793094
126,/price,GET,2.581586605906487
127,/price,GET,2.5815863084793094
128,/price,GET,2.581586605906487
129,/price,GET,2.581586903333664
130,/price,GET,2.581586605906487
131,/price,GET,2.5815863084793094
132,/price,GET,2.5815863084793094
