Day,Endpoint,Method,Value
1,/price,GET,2.5441560727357864
2,/price,GET,2.6153081852197646
3,/price,GET,2.531162905693054
4,/price,GET,2.33809035629034
5,/price,GET,2.4468434399366377
6,/price,GET,2.4413026589155193
7,/price,GET,2.3885532623529433
8,/price,GET,2.427168098092079
9,/price,GET,2.410060521960258
10,/price,GET,2.408799152970314
11,/price,GET,2.4178443950414654
12,/price,GET,2.411277455687523
13,/price,GET,2.4129636257886884
14,/price,GET,2.4140454763174057
15,/price,GET,2.412816100716591
16,/price,GET,2.4133697640895844
17,/price,GET,2.413345769047737
18,/price,GET,2.4131573635339736
19,/price,GET,2.413310813307762
20,/price,GET,2.413256898522377
21,/price,GET,2.413243271708488
22,/price,GET,2.413268747925758
23,/price,GET,2.4132557135820387
24,/price,GET,2.413256898522377
25,/price,GET,2.413259860873222
26,/price,GET,2.413258083462715
27,/price,GET,2.4132586759328842
28,/price,GET,2.4132586759328842
29,/price,GET,2.4132583796977993
30,/price,GET,2.4132583796977993
31,/price,GET,2.4132586759328842
32,/price,GET,2.4132586759328842
33,/price,GET,2.4132583796977993
34,/price,GET,2.4132586759328842
35,/price,GET,2.4132583796977993
36,/price,GET,2.4132586759328842
37,/price,GET,2.4132586759328842
38,/price,GET,2.4132586759328842
39,/price,GET,2.4132586759328842
40,/price,GET,2.4132583796977993
41,/price,GET,2.4132586759328842
42,/price,GET,2.4132583796977993
43,/price,GET,2.4132586759328842
44,/price,GET,2.4132583796977993
45,/price,GET,2.4132586759328842
46,/price,GET,2.4132586759328842
47,/price,GET,2.4132586759328842
48,/price,GET,2.4132586759328842
49,/price,GET,2.4132586759328842
50,/price,GET,2.4132583796977993
51,/price,GET,2.4132586759328842
52,/price,GET,2.4132583796977993
53,/price,GET,2.4132586759328842
54,/price,GET,2.4132586759328842
55,/price,GET,2.4132586759328842
56,/price,GET,2.4132586759328842
57,/price,GET,2.4132583796977993
58,/price,GET,2.4132586759328842
59,/price,GET,2.4132586759328842
60,/price,GET,2.4132586759328842
61,/price,GET,2.4132586759328842
62,/price,GET,2.4132586759328842
63,/price,GET,2.4132586759328842
64,/price,GET,2.4132583796977993
65,/price,GET,2.4132586759328842
66,/price,GET,2.4132586759328842
67,/price,GET,2.4132586759328842
68,/price,GET,2.4132586759328842
69,/price,GET,2.4132586759328842
70,/price,GET,2.4132586759328842
71,/price,GET,2.4132586759328842
72,/price,GET,2.4132586759328842
73,/price,GET,2.4132586759328842
74,/price,GET,2.4132583796977993
75,/price,GET,2.4132586759328842
76,/price,GET,2.4132583796977993
77,/price,GET,2.4132586759328842
78,/price,GET,2.4132586759328842
79,/price,GET,2.4132586759328842
80,/price,GET,2.4132583796977993
81,/price,GET,2.4132586759328842
82,/price,GET,2.4132583796977993
83,/price,GET,2.413258083462715
84,/price,GET,2.4132583796977993
85,/price,GET,2.4132583796977993
86,/price,GET,2.4132586759328842
87,/price,GET,2.4132583796977993
88,/price,GET,2.4132586759328842
89,/price,GET,2.4132586759328842
90,/price,GET,2.4132586759328842
91,/price,GET,2.4132583796977993
92,/price,GET,2.4132586759328842
