Day,Type,load_percent
1,CPU,3.6791698419437258
2,CPU,3.7251622793261214
3,CPU,3.728111370864312
4,CPU,3.7207651408132896
5,CPU,3.7034224689926254
6,CPU,3.7045892466317842
7,CPU,3.7019392010498073
8,CPU,3.696237059211389
9,CPU,3.7043305718796598
10,CPU,3.703551889437009
11,CPU,3.7043229295941122
12,CPU,3.705654514782473
13,CPU,3.7038128901021263
14,CPU,3.703951115788554
15,CPU,3.7038115610089872
16,CPU,3.7036198393237263
17,CPU,3.70398633675673
18,CPU,3.703971384458919
19,CPU,3.703995640408701
20,CPU,3.7040172381722054
21,CPU,3.7039398184968744
22,CPU,3.703945965552641
23,CPU,3.7039441380495752
24,CPU,3.7039428089564366
25,CPU,3.7039574289809627
26,CPU,3.7039554353412547
27,CPU,3.703956099887824
28,CPU,3.703955601477897
29,CPU,3.703952777154977
30,CPU,3.703953275564904
31,CPU,3.703953109428262
32,CPU,3.703952777154977
33,CPU,3.703953109428262
34,CPU,3.703952777154977
35,CPU,3.703952777154977
36,CPU,3.703952777154977
37,CPU,3.703952777154977
38,CPU,3.703952777154977
39,CPU,3.703952777154977
40,CPU,3.703952777154977
41,CPU,3.703952777154977
42,CPU,3.703952777154977
43,CPU,3.703952777154977
44,CPU,3.703952777154977
45,CPU,3.7039529432916196
46,CPU,3.703952777154977
47,CPU,3.703952777154977
48,CPU,3.703952777154977
49,CPU,3.703952777154977
50,CPU,3.703952777154977
51,CPU,3.703952777154977
52,CPU,3.7039529432916196
53,CPU,3.7039529432916196
54,CPU,3.703952777154977
55,CPU,3.703952777154977
56,CPU,3.7039529432916196
57,CPU,3.703952777154977
58,CPU,3.703952777154977
59,CPU,3.703952777154977
60,CPU,3.703952777154977
61,CPU,3.703952777154977
62,CPU,3.703952777154977
63,CPU,3.703952777154977
64,CPU,3.703952777154977
65,CPU,3.703952777154977
66,CPU,3.703952777154977
67,CPU,3.703952777154977
68,CPU,3.703952777154977
69,CPU,3.703952777154977
70,CPU,3.703952777154977
71,CPU,3.7039529432916196
72,CPU,3.703952777154977
73,CPU,3.703952777154977
74,CPU,3.7039529432916196
75,CPU,3.703952777154977
76,CPU,3.703952777154977
77,CPU,3.7039529432916196
78,CPU,3.703952777154977
79,CPU,3.703952777154977
80,CPU,3.703952777154977
81,CPU,3.7039529432916196
82,CPU,3.7039529432916196
83,CPU,3.703952777154977
84,CPU,3.7039529432916196
85,CPU,3.703952777154977
86,CPU,3.703953109428262
87,CPU,3.703952777154977
88,CPU,3.703952777154977
89,CPU,3.703952777154977
90,CPU,3.7039529432916196
91,CPU,3.703952777154977
92,CPU,3.703952777154977
93,CPU,3.703952777154977
94,CPU,3.703952777154977
95,CPU,3.703952777154977
96,CPU,3.703952777154977
97,CPU,3.703952777154977
98,CPU,3.703952777154977
99,CPU,3.7039529432916196
100,CPU,3.703952777154977
101,CPU,3.703952777154977
102,CPU,3.703952777154977
103,CPU,3.703952777154977
104,CPU,3.703952777154977
105,CPU,3.703952777154977
106,CPU,3.7039529432916196
107,CPU,3.703952777154977
108,CPU,3.703952777154977
109,CPU,3.703952777154977
110,CPU,3.703952777154977
111,CPU,3.7039529432916196
112,CPU,3.703952777154977
113,CPU,3.703952777154977
114,CPU,3.703952777154977
115,CPU,3.703952777154977
116,CPU,3.703952777154977
117,CPU,3.703952777154977
