Day,Endpoint,Method,error_rate
1,/price,GET,1.0692309929445358
2,/price,GET,1.150495077004304
3,/price,GET,1.1026295634789072
4,/price,GET,1.1464989087321664
5,/price,GET,1.1217717736456185
6,/price,GET,1.138752668086344
7,/price,GET,1.1267891335414764
8,/price,GET,1.1372292040746124
9,/price,GET,1.131810470184284
10,/price,GET,1.1357041678605984
11,/price,GET,1.1323798848580067
12,/price,GET,1.1338512812294417
13,/price,GET,1.1322402363023267
14,/price,GET,1.1329706629862735
15,/price,GET,1.1321953822960322
16,/price,GET,1.132694602761966
17,/price,GET,1.1323721163290814
18,/price,GET,1.132670279867831
19,/price,GET,1.1325067708304521
20,/price,GET,1.1326534480551596
21,/price,GET,1.132565219762366
22,/price,GET,1.1326344891452826
23,/price,GET,1.132582791434935
24,/price,GET,1.1326183047100216
25,/price,GET,1.1325926870610659
26,/price,GET,1.1326094263912498
27,/price,GET,1.1325962013955795
28,/price,GET,1.1326051721968384
29,/price,GET,1.1325989758701958
30,/price,GET,1.132602675169684
31,/price,GET,1.1326016578623246
32,/price,GET,1.1326025826871968
33,/price,GET,1.1326019353097863
34,/price,GET,1.1326023977222224
35,/price,GET,1.1326021202747607
36,/price,GET,1.1326023977222224
37,/price,GET,1.132602212757248
38,/price,GET,1.1326023977222224
39,/price,GET,1.132602212757248
40,/price,GET,1.132602212757248
41,/price,GET,1.132602212757248
42,/price,GET,1.132602212757248
43,/price,GET,1.132602212757248
44,/price,GET,1.132602212757248
45,/price,GET,1.132602212757248
46,/price,GET,1.1326023052397352
47,/price,GET,1.132602212757248
48,/price,GET,1.132602212757248
49,/price,GET,1.132602212757248
50,/price,GET,1.132602212757248
51,/price,GET,1.132602212757248
52,/price,GET,1.132602212757248
53,/price,GET,1.132602212757248
54,/price,GET,1.1326023052397352
55,/price,GET,1.132602212757248
56,/price,GET,1.132602212757248
57,/price,GET,1.132602212757248
58,/price,GET,1.132602212757248
59,/price,GET,1.132602212757248
60,/price,GET,1.132602212757248
61,/price,GET,1.132602212757248
62,/price,GET,1.132602212757248
63,/price,GET,1.132602212757248
64,/price,GET,1.132602212757248
65,/price,GET,1.132602212757248
66,/price,GET,1.132602212757248
67,/price,GET,1.132602212757248
68,/price,GET,1.132602212757248
69,/price,GET,1.132602212757248
70,/price,GET,1.132602212757248
71,/price,GET,1.132602212757248
72,/price,GET,1.132602212757248
73,/price,GET,1.132602212757248
74,/price,GET,1.132602212757248
75,/price,GET,1.132602212757248
76,/price,GET,1.132602212757248
77,/price,GET,1.132602212757248
78,/price,GET,1.132602212757248
79,/price,GET,1.132602212757248
80,/price,GET,1.132602212757248
81,/price,GET,1.132602212757248
82,/price,GET,1.132602212757248
83,/price,GET,1.132602212757248
84,/price,GET,1.132602212757248
85,/price,GET,1.132602212757248
86,/price,GET,1.132602212757248
87,/price,GET,1.132602212757248
88,/price,GET,1.132602212757248
89,/price,GET,1.132602212757248
90,/price,GET,1.132602212757248
91,/price,GET,1.132602212757248
92,/price,GET,1.132602212757248
93,/price,GET,1.132602212757248
94,/price,GET,1.132602212757248
95,/price,GET,1.132602212757248
96,/price,GET,1.132602212757248
97,/price,GET,1.132602212757248
98,/price,GET,1.132602212757248
99,/price,GET,1.132602212757248
100,/price,GET,1.132602212757248
101,/price,GET,1.132602212757248
102,/price,GET,1.132602212757248
103,/price,GET,1.132602212757248
104,/price,GET,1.132602212757248
